# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Number of variations (columns) in the tile sheet.;图块表中的变化数（列）。
Number of placeable features (rows minus three) in the tile sheet.;图块表中可放置特征的数量（行数减三）。
Randomly place feature tiles in empty spaces.;在空白区域随机放置特征图块。
Sets the size of the projected plane on the horizontal axis as a ratio of the texture project's mesh(es).;将水平轴上的投影平面大小设置为纹理项目网格的比例。
Sets the size of the projected plane on the vertical axis as a ratio of the texture project's mesh(es).;将垂直轴上的投影平面大小设置为纹理项目网格的比例。
Sets the maximum distance beneath the surface at which the projection will be drawn. Smoothly fades from falloff value.;设置投影绘制在表面下方的最大距离。从衰减值开始平滑淡出。
Sets the distance beneath the surface at which the projection will start fading.;设置投影开始淡出时表面下方的距离。
Sets the maximum distance above the surface at which the projection will be drawn. No falloff is applied.;设置投影绘制在表面上方的最大距离。不应用衰减。
Sets the maximum angle away from the surface normal at which the projection will stop being drawn. No falloff is applied.;设置投影停止绘制的最大偏离表面法线角度。不应用衰减。
Sets the rotation along the X axis for the custom direction effect.;为自定义方向效果设置 X 轴旋转。
Sets the rotation along the Y axis for the custom direction effect.;为自定义方向效果设置 Y 轴旋转。
Sets the rotation along the Z axis for the custom direction effect.;为自定义方向效果设置 Z 轴旋转。
Recolor the shadow element of the output gradient for this map type.;为此贴图类型的输出渐变重新着色阴影元素。
Recolor the highlight element of the output gradient for this map type.;为此贴图类型的输出渐变重新着色高光元素。
Invert the output gradient for this map type.;反转此贴图类型的输出渐变。
Inverts the x value.;反转 X 值。
Inverts the normal value.;反转法线值。
Inverts the albedo value.;反转反照率值。
Inverts the specular value..;反转高光值。
Inverts the gloss value..;反转光泽值。
Inverts the roughness value.;反转粗糙度值。
Inverts the metalness value.;反转金属度值。
Inverts the ambient occlusion value.;反转环境光遮蔽值。
Inverts the cavity value.;反转空腔值。
Inverts the transparency value.;反转透明度值。
Inverts the displacement or heightmap value.;反转置换或高度贴图值。
Inverts the albedo (metalness) value.;反转反照率（金属度）值。
Inverts the bump value.;反转凹凸值。
Inverts the emissive value.;反转自发光值。
Inverts the subsurface scattering value.;反转次表面散射值。
Inverts the subsurface scattering mask value.;反转次表面散射遮罩值。
Inverts the aniisotropic direction value.;反转各向异性方向值。
Inverts the fuzz value.;反转绒毛值。
Inverts the refraction mask value.;反转折射遮罩值。
Sets the initial seed which can be adjusted to create a unique variation of the effect.;设置初始种子，可调整以创建效果的独特变化。
Sets the maximum angle the tool will paint on relative to the center point of the brush.;设置工具相对于画笔中心点可绘制的最大角度。
Sets how gradually the culling function fades to the maximum value.;设置剔除函数逐渐淡出到最大值的程度。
Sets whether the normal map influences the culling function. When on, the surface details in the normal map will be used for culling.;设置法线贴图是否影响剔除函数。启用后，法线贴图中的表面细节将用于剔除。
Sets the maximum amount of value difference the tool will fill in relative to value at the sample point.;设置工具相对于采样点值可填充的最大数值差异。
Determines whether the fill tool will create a shape with opaque edges or if the edges will fade relative to the value tolerance.;确定填充工具是创建边缘不透明的形状，还是边缘相对于数值容差逐渐淡出。
Determines where the edges will be filtered to soften and reduce jaggedness.;确定边缘将在何处进行过滤以柔化并减少锯齿。
Determines which mesh elements the tool will fill.;确定工具将填充哪些网格元素。
Determines which elements in the texture project the tool will sample from.;确定工具将采样纹理项目中的哪些元素。
Determines how the smudge tool can work across various boundaries.;确定涂抹工具如何跨各种边界工作。
Sets the strength of the gradient.;设置渐变的强度。
Inverts the gradient.;反转渐变。
Displays guide planes when manipulating decal depth or falloff via the GUI.;通过界面调整贴花深度或衰减时显示引导平面。
Edit the color value for the selected handle.;编辑选中手柄的颜色值。
Edit the alpha value for the selected handle.;编辑选中手柄的 alpha 值。
Edit the horizontal position of the selected color handle.;编辑选中颜色手柄的水平位置。
Edit the horizontal position of the selected alpha handle.;编辑选中 alpha 手柄的水平位置。
Toggle fullscreen sampling mode. This allows sampling from any part of the screen, including external applications and secondary monitors.;切换全屏采样模式。这允许从屏幕的任何部分采样，包括外部应用和副显示器。
Determines which elements of the selected Texture Project will be sampled;Layers, Groups, or the final composite.;确定将采样所选纹理项目的哪些元素：图层、组，还是最终合成。
Selects which texture map type to sample the value from.;选择要从哪种纹理贴图类型采样值。
This asset cannot be downloaded with a trial license.;试用许可证无法下载此资源。
The X coordinate in 3D space.;3D 空间中的 X 坐标。
The Y coordinate in 3D space.;3D 空间中的 Y 坐标。
The Z coordinate in 3D space.;3D 空间中的 Z 坐标。
The scale along the X axis.;沿 X 轴的比例。
The scale along the Y axis.;沿 Y 轴的比例。
The scale along the Z axis.;沿 Z 轴的比例。
Rotation around the X axis.;绕 X 轴旋转。
Rotation around the Y axis.;绕 Y 轴旋转。
Rotation around the Z axis.;绕 Z 轴旋转。
Only allow rotation to change by fixed steps in degrees when interacting with the tool in the viewport.;在视口中与工具交互时，仅允许旋转以固定度数步进变化。
Only allow translation to change by fixed steps in world units when interacting with the tool in the viewport.;在视口中与工具交互时，仅允许平移以固定世界单位步进变化。
Center the pivot to the object bounds.;将枢轴居中到对象边界。
Use world space axes instead of local, object axes when interacting with the tool in the viewport.;在视口中与工具交互时，使用世界空间轴而不是局部（对象）轴。
Edit the pivot transform.;编辑枢轴变换。
Edit the object transform.;编辑对象变换。
Go to the root folder.;转到根文件夹。
Go back to the previous folder.;返回上一个文件夹。
Go forward to the next folder.;转到下一个文件夹。
Go to the parent folder.;转到父文件夹。
Creates a new user folder inside the currently selected folder.;在当前选中的文件夹内创建新的用户文件夹。
Deletes the currently selected user folder.;删除当前选中的用户文件夹。
Download the selected asset(s).;下载选中的资源。
Open the selected asset(s). If asset(s) do not exist locally, they will be downloaded first.;打开选中的资源。如果资源在本地不存在，将先下载。
Delete the selected asset(s).;删除选中的资源。
Show first party Marmoset content.;显示 Marmoset 第一方内容。
Show custom user-created content.;显示用户自定义创建的内容。
Show assets that are stored locally.;显示本地存储的资源。
Show assets that are available to download.;显示可下载的资源。
Show assets with available updates to download.;显示有可用更新可下载的资源。
Show materials, textures, and skies currently used in the scene.;显示场景当前使用的材质、纹理和天空。
Show assets tagged with this color.;显示标记为此颜色的资源。
Assign a color to this asset.;为此资源指定颜色。
Download the asset.;下载资源。
Save changes to the asset.;保存对资源的更改。
Open the asset.;打开资源。
Places the Light's specular highlight at the sample point. When disabled, the Light is placed perpendicular to the vertex normal of the sample point.;将灯光的高光放置于采样点。禁用时，灯光垂直于采样点的顶点法线放置。
Enabling this uses the normal map for sampling light direction, otherwise vertex normals are used.;启用此选项后，使用法线贴图来采样灯光方向，否则使用顶点法线。
Download all files which are available from Marmoset's Library server.;下载 Marmoset 库服务器上所有可用的文件。
Select the location on disk to search for lost files.;选择磁盘上用于搜索丢失文件的位置。
Continue loading the scene. Note: skipped file references will be permanently lost when saving the file.;继续加载场景。注意：保存文件时，跳过的文件引用将永久丢失。
Abort loading the scene.;中止加载场景。
Download this file from the Library server.;从库服务器下载此文件。
Browse to locate this file on disk.;浏览以在磁盘上找到此文件。
Sharpens the selected point.;锐化选中的点。
Smooths the selected point.;平滑选中的点。
Deletes the selected point.;删除选中的点。
Mirrors the handles for the selected point.;镜像选中点的手柄。
Links the length of the handles for the selected point.;链接选中点的手柄长度。
Prevents moving points to overlapping positions.;防止将点移动到重叠位置。
Toggles horizontal mirroring for the whole profile curve.;切换整个轮廓曲线的水平镜像。
When enabled, bezier vertices and tangent handles will snap to a visible grid. Resize the Profile Editor window for a more refined grid.;启用后，贝塞尔顶点和切线手柄将吸附到可见网格。调整轮廓编辑器窗口大小可获得更精细的网格。
Preview of a computed sync map.;计算同步贴图的预览。
Allows to build mask effects that blend on top of the layers below.;允许构建叠加在下方图层之上的遮罩效果。
Opens the console window.;打开控制台窗口。
Clears the currently displayed error.;清除当前显示的错误。
Bakes all projects in the scene. This button can also pause and resume bakes that are in progress.;烘焙场景中的所有项目。此按钮还可以暂停和恢复正在进行的烘焙。
Cancels any bakes in progress.;取消任何正在进行的烘焙。
Undock this window.;取消停靠此窗口。
Confirm new key bind.;确认新的按键绑定。
Cancel new key bind.;取消新的按键绑定。
Ignore conflicted key bind.;忽略冲突的按键绑定。
Restore default key bind.;恢复默认按键绑定。
Clear key bind.;清除按键绑定。
Transform Tool;变换工具
Delete Layer;删除图层
Delete selected layer;删除选中的图层

# --- Runtime-observed UI text (machine draft) ---
SEAMLESS;无缝
App;应用
Content;内容
Autosave;自动保存
Error: Cannot save to reserved path.;错误：无法保存到保留路径。
GPU;GPU
NONE;无
Visible;可见
SetCameraTarget;设置摄像机目标
Set Camera Target;设置摄像机目标
tbexport;tbexport
Translation X;平移 X
Translation Y;平移 Y
Translation Z;平移 Z
Rotation X;旋转 X
Rotation Y;旋转 Y
Rotation Z;旋转 Z
Scale X;缩放 X
Scale Y;缩放 Y
Scale Z;缩放 Z
Focus Distance;焦点距离
Anamorphic Ratio;变形比率
Rotation Degrees;旋转角度
Strength;强度
Coating Color;涂层颜色
Mode;模式
Intensity;强度
Dirt Intensity;污渍强度
Dirt Density;污渍密度
Dirt Size;污渍大小
Field Of View;视野
Sharpen Limit;锐化限制
Bloom Size;泛光大小
Vignette Curve;暗角曲线
Barrel;桶形
Light Brightness;灯光亮度
Background Brightness;背景亮度
Sun Brightness;太阳亮度
Sun Scale;太阳比例
Saturation;饱和度
Blur Size;模糊大小
SRSurfaceNormalMap;SRSurface 法线贴图
Normal Map;法线贴图
none;无
Scale & Bias;缩放与偏移
Flip X;翻转 X
detail;细节
Object Space;对象空间
SRMicrosurfaceRoughnessMap;SRMicrosurface 粗糙度贴图
Roughness Map;粗糙度贴图
SRAlbedoMap;SRAlbedo 贴图
Albedo Map;反照率贴图
Color;颜色
SRDiffusionLambertian;SR 扩散（朗伯）
SRReflectivityMetalnessMap;SR 反射率金属度贴图
Metalness Map;金属度贴图
SRReflectionGGX;SR 反射（GGX）
SRTextureUv;SR 纹理 UV
Texture Tiling;纹理平铺
Tile U;平铺 U
Tile V;平铺 V
Aniso;各向异性
Filter;过滤
SRMerge;SR 合并
name;名称
REFLECTION;反射
DIFFUSION;漫反射
DiffusionWantsPrepassAlbedoOutput;漫反射需要预通道反照率输出
SurfaceShadingSpaceNonWorld;表面着色空间（非世界）
SurfaceFlipBackfacingNormals;表面翻转背面法线
GET;获取
HEAD;头部
v5.02 (5022);v5.02 (5022)
Layers Window Main UI;图层窗口主界面
Blending;混合
Set Blend Mode;设置混合模式
Adjust Layer Opacity;调整图层不透明度
3D Vector;3D 矢量
Decal Vector;贴花矢量
Adjustments;调整
Processors;处理器
Procedurals;程序化
Paint Mask (White);绘画遮罩（白色）
Paint Mask (Black);绘画遮罩（黑色）
Color Mask (White);颜色遮罩（白色）
Color Mask (Black);颜色遮罩（黑色）
Fill Mask (White);填充遮罩（白色）
Fill Mask (Black);填充遮罩（黑色）
Vertex Color;顶点颜色
mesh;网格
SHADOWS;阴影
PrepassDepthDifferential;预通道深度差异
Selection Outline;选择轮廓
Light;灯光
Spot;聚光
Omni;泛光
Add Layer;添加图层
Orange;橙色
Yellow;黄色
Cyan;青色
Purple;紫色
Rasterize;光栅化
Export Material Copy;导出材质副本
Collapse Texture Project;折叠纹理项目
Collapse Bake Project;折叠烘焙项目
Hybrid;混合
Dev;开发
File Reference;文件引用
Mesh;网格
Groom;梳理
Group;组
Cage;笼
Reset Fresh Sequence;重置新序列
Trim Timeline;裁剪时间轴
Return Home Frame;返回起始帧
Bake Animation Speed;烘焙动画速度
Adjust Frames;调整帧
Adjust Playback Speed;调整播放速度
Adjust Sequence Length;调整序列长度
Set Start Frame;设置起始帧
Set End Frame;设置结束帧
Modify Curve;修改曲线
Painter;画笔
OK;确定
Similar;相似
Save;保存
R:;R:
G:;G:
B:;B:
S (%):;饱和度(%)：
V (%):;明度(%)：
From;从
Current Group;当前组
Map;贴图
Grayscale Picker;灰度拾取器
V:;V:
ColorSamplerOverlay;颜色采样叠加
Render Pass Settings;渲染通道设置
Texture Preview;纹理预览
Mip Bias Preview;Mip 偏移预览
Convert Layers;转换图层
Performance;性能
Scene Statistics;场景统计
Map Settings;贴图设置
Configure Maps;配置贴图
Curve Editor;曲线编辑器
Presets;预设
Save...;保存...
Load...;加载...
Export Settings;导出设置
Default;默认
Surface Previewer;表面预览器
Effect Editor Scroll Area;效果编辑器滚动区域
Effect Properties AW;效果属性 AW
Sync Point Settings;同步点设置
Client Rect;客户区
Brush Editor;画笔编辑器
brusheditor;画笔编辑器
Modify Brush;修改画笔
Standard;标准
BrushEditor ScrollBox;画笔编辑器滚动框
Brush Editor Scroll Area;画笔编辑器滚动区域
Brush Tip;笔尖
Brush Texture;画笔纹理
Pressure;压力
Tilt;倾斜
Modify Symmetry Settings;修改对称设置
brush;画笔
Attach to:;附加到：
Project Mesh Bounds;投影网格边界
Object...;对象...
Done;完成
Stencil;模板
Modify Stencil Settings;修改模板设置
Stencil Texture;模板纹理
Projection;投影
Clone Stamp Editor;仿制图章编辑器
clonestampeditor;仿制图章编辑器
Clone Stamp Settings;仿制图章设置
Smudge Editor;涂抹编辑器
smudgeeditor;涂抹编辑器
Smudge Settings;涂抹设置
Fill Editor;填充编辑器
Gradient Editor;渐变编辑器
Save Preset;保存预设
Resource Locator;资源定位器
Filename;文件名
Path;路径
Status;状态
Profile Editor;轮廓编辑器
Match Viewport;匹配视口
Ray Traced Distance;光线追踪距离
Ray Distance;光线距离
Ray Offset;光线偏移
Occlusion Color;遮蔽颜色
SceneHasSphereLights;场景包含球形灯光
Initial State;初始状态
s3.amazonaws.com;s3.amazonaws.com
viewport0;视口 0
Split Vertical;垂直分割
Split Horizontal;水平分割
Remove Viewport;移除视口
toneHejl;toneHejl
ditherLdsBlueNoise;抖动 LDS 蓝噪声
MiniProjectSelector;迷你项目选择器
toneAgX;toneAgX
Open User Directory;打开用户目录
Refresh User Data;刷新用户数据
Marmoset Hard Reset...;Marmoset 硬重置...
User Hard Reset...;用户硬重置...
Add Camera;添加摄像机
Add Turntable;添加转盘
Add Light;添加灯光
Add Sky;添加天空
Add Fog;添加雾
Add Backdrop;添加背景
Add Shadow Catcher;添加阴影捕捉器
Add Bake Project;添加烘焙项目
Untitled Layer;未命名图层
Root;根
output;输出
Untitled;未命名
tga;tga
Linked Meshes LUT hash changed;链接网格 LUT 哈希已更改
Channel buffers rebuilt;通道缓冲区已重建
AO;AO
Quality;质量
Reset Defaults;重置默认值
Project Settings;项目设置
Modify Project Settings;修改项目设置
Viewport Quality:;视口质量：
Fast;快速
Full;完整
Tile Mode:;图块模式：
Single Texture Set;单一纹理集
Multiple Texture Sets;多个纹理集
UDIM;UDIM
Viewport Resolution:;视口分辨率：
1:1 (Full);1:1（完整）
Preview Resolution:;预览分辨率：
UV Padding;UV 填充
Tangent Orientation;切线方向
Resize...;调整大小...
Linked Materials;链接的材质
(Drag and Drop Materials Here);（将材质拖放到此处）
Input Maps;输入贴图
Normal;法线
Normal:;法线：
Normal Object;对象法线
Normal Object:;对象法线：
AO:;AO：
Group ID;组 ID
Anisotropic Dir.;各向异性方向
Cavity;空腔
Fuzz;绒毛
Glint;闪烁
Glint Roughness;闪烁粗糙度
Refraction Depth;折射深度
Sheen;光泽
Sheen Roughness;光泽粗糙度
Transmission Mask;透射遮罩
Bump;凹凸
Project Maps;项目贴图
Reflection Workflow:;反射工作流：
Append Tile:;附加图块：
Before Map;贴图之前
After Map;贴图之后
Separator:;分隔符：
Export Size:;导出大小：
Export All;全部导出
Output Maps;输出贴图
Suffix:;后缀：
Type:;类型：
RGB+A;RGB+A
RGBA;RGBA
R+G+B;R+G+B
R+G+B+A;R+G+B+A
Grayscale;灰度
8-Bit;8 位
Selected Project Automatic Recomposite Check;所选项目自动重新合成检查
Active Maps;活动贴图
Channel Selector;通道选择器
Projection Method;投影方法
Tri-Planar;三平面
Planar;平面
Edge Fade;边缘淡出
Normal Map Influence;法线贴图影响
Material Properties;材质属性
Material Reference;材质参考
Modify Material Reference;修改材质参考
Material:;材质：
Remove Reference Material;移除参考材质
Import Reference Material;导入参考材质
Bump Map:;凹凸贴图：
Add;添加
Multiply;正片叠底
Overlay;叠加
Lighten;变亮
Darken;变暗
Color Dodge;颜色减淡
Color Burn;颜色加深
Linear Burn;线性加深
Cavity Map;空腔贴图
Dither;抖动
Alpha Map;Alpha 贴图
Displacement Map;置换贴图
Emissive Map;自发光贴图
Subsurface Scattering;次表面散射
Scatter Map;散射贴图
Mask Map;遮罩贴图
Anisotropic;各向异性
Direction Map;方向贴图
Fuzz Map;绒毛贴图
Microfiber;微纤维
Sheen Map;光泽贴图
Refraction;折射
Depth Map;深度贴图
Glint Map;闪烁贴图
Occlusion Map;遮蔽贴图
SRDisplacementHeight;SR 置换高度
Displacement Map:;置换贴图：
Scale Center;缩放中心
Contrast Center;对比中心
Offset;偏移
Generate Normals;生成法线
SROcclusionMap;SR 遮蔽贴图
Occlusion Map:;遮蔽贴图：
Vertex Channel;顶点通道
Cavity Map:;空腔贴图：
Diffuse Cavity;漫反射空腔
Specular Cavity;高光空腔
SRReflectivitySpecularMap;SR 反射率高光贴图
Specular Map;高光贴图
Specular Map:;高光贴图：
Fresnel;菲涅尔
Conserve Energy;能量守恒
load input maps;加载输入贴图

# --- phase1_translations (DeepSeek 审核) ---
A texture which modulates tint and controls depth at which tint is realized due to absorption. Darker pixels result in more absorption, and thus more opaque appearance.;用于调制色调并控制因吸收而实现色调深度的纹理。较暗的像素会产生更多吸收，从而使外观更加不透明。
Adjust the brightness/opacity of the stencil.;调整模板的亮度/不透明度。
Adjusts the search size for neighboring detail, potentially resulting in more accurate height generation with larger scales. Larger scale values will take more time to compute.;调整相邻细节的搜索范围，较大的范围可生成更准确的高度。较大的值会占用更多计算时间。
Allows for the adjustment of the Windows GPU "timeout" setting. Increasing this value can improve stability with complex scenes in some cases. A value between 10 to 30 seconds is recommended.;允许调整 Windows GPU“超时”设置。在某些情况下，增大此值可提高复杂场景的稳定性。建议设置为 10 到 30 秒之间。
Bake a composite albedo map for albedo/gloss/specular PBR from the materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙出 albedo/gloss/specular PBR 的合成反照率(albedo)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Bake a composite albedo map for albedo/metalness/roughness PBR from materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙出 albedo/metalness/roughness PBR 的合成反照率(albedo)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Bake a composite gloss map from the materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙合成光泽(gloss)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Bake a composite metalness map from the materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙合成金属度(metalness)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Bake a composite roughness map from materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙合成粗糙度(roughness)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Bake a composite specular map from the materials assigned to the high poly mesh. If "Multi-Layer PSD" output is enabled, each material will be written to a separate layer.;从指定给高模网格的材质烘焙合成高光(specular)贴图。如果启用了“多层 PSD”输出，每种材质将写入单独的图层。
Causes the viewer to fill the available frame or browser window. This setting is useful for embedding a viewer within an iframe, or making a full-page presentation.;让查看器填满可用画面或浏览器窗口。此设置适用于在 iframe 中嵌入查看器，或进行整页展示。
Centers the current yaw and pitch ranges around the current camera orientation. This is useful for easily re-orienting both the pitch and yaw ranges to frame a chosen camera position.;以当前摄像机朝向为中心居中当前的偏航(yaw)和俯仰(pitch)范围。便于重新定向俯仰和偏航范围，以框住所选摄像机位置。
Choose whether to import meshes, lights, cameras, or materials from the model file. Some file formats only support mesh data and may not provide lights, cameras, or materials.;选择是否从模型文件导入网格、灯光、摄像机或材质。某些文件格式仅支持网格数据，可能不提供灯光、摄像机或材质。
Depth at which tint is realized due to absorption. Lower values mean more absorption, and thus darker and more opaque appearance. A value of zero disables absorption & scattering.;因吸收而实现色调的深度。值越小吸收越多，外观越暗越不透明。值为 0 时禁用吸收与散射。
Determines the exposure time, affecting the magnitude of the blur. Shutter speed on a camera is typically represented in fractions of a second, ie: 1/60, 1/120, 1/250, etc.;决定曝光时间，影响模糊的程度。摄像机的快门速度通常以秒的分数表示，如 1/60、1/120、1/250 等。
Determines the maximum number of autosaves to keep for a given scene. Older autosaves will be deleted when this value is exceeded. Using a value of 0 will retain all files.;决定为给定场景保留的最大自动保存数量。超过此值时会删除较早的自动保存。设为 0 将保留所有文件。
Determines the relative magnitude of the fluorescence effect. This value can be greater than 1.0 to emulate cases where incident non-visible light wavelengths are more intense than visible ones.;决定荧光效果的相对强度。此值可大于 1.0，用于模拟入射的非可见光波长比可见光更强的情况。
Determines the selection range, which isolates frames for easy editing and playback. Use the left and right handles to set the first and last frames, and drag the central handle to move the range.;决定选区范围，以隔离出便于编辑和播放的帧。使用左右手柄设置首尾帧，拖动中间手柄可移动范围。
Determines where shading tangents are calculated: either at each vertex, or each rendered pixel. This setting should match the method used to bake normal maps applied to this mesh.;决定着色切线在何处计算：在每个顶点，还是在每个渲染像素。此设置应与烘焙应用于该网格的法线贴图所使用的方法保持一致。
Determines whether mesh tangent space is computed at each vertex or each pixel. This is equivalent to changing the same setting on each low-poly mesh in the bake project manually.;决定网格切线空间是在每个顶点还是每个像素处计算。这等同于在烘焙项目中手动更改每个低模网格上的相同设置。
Determines whether the input normal map was baked in tangent or object/world space. Lighting errors will be seen if object space is enabled when using a tangent space map, and vice versa.;决定输入的法线贴图是在切线空间还是物体/世界空间烘焙。当使用切线空间贴图时若启用了物体空间，会出现光照错误，反之亦然。
Determines whether the light will be moved to maintain a constant distance to the sample point. This setting only applies to Spot/Omni lights.;决定灯光是否移动以保持到采样点的恒定距离。此设置仅适用于聚光灯/泛光灯。
Determines whether this bake project is linked to a texture project. Linking will automatically update the texture project when changes are made to the bake project.;决定此烘焙项目是否链接到纹理项目。链接后，烘焙项目发生更改时会自动更新纹理项目。
Determines which channel of the texture will be used for the parallax height/depth map.;决定纹理的哪个通道将用于视差高度/深度贴图。
Dirt/grunge texture map applied to affected areas.;应用于受影响区域的污渍/做旧纹理贴图。
Dithers the bake result, to help prevent banding artifacts. This setting only takes effect for 8 bits/channel outputs.;对烘焙结果进行抖动，以帮助防止色带伪影。此设置仅对 8 位/通道的输出生效。
Enable or disable this camera when rendering screenshots/videos.;渲染截图/视频时启用或禁用此摄像机。
Enable or disable this render pass when rendering screenshots/videos.;渲染截图/视频时启用或禁用此渲染通道。
Enables automatic reloading of this model file when Toolbag regains mouse focus. This can also be disabled at the application level through the preferences dialog.;当 Toolbag 重新获得鼠标焦点时自动重新加载此模型文件。也可以在应用程序级别通过“首选项”对话框关闭此功能。
Enables explicit specification of ambient occlusion ray length. Intersection is only detected if the intersected point is less than the specified ray length if enabled.;启用对环境光遮蔽光线长度的显式指定。启用后，仅当相交点小于指定光线长度时才检测到相交。
Enables shadow casting from both the front and back of meshes, useful for removing gaps in shadow projection. May cause shadow fighting artifacts with lights that have a width of zero.;允许从网格正面和背面投射阴影，有助于消除阴影投射中的缝隙。对于宽度为零的灯光，可能会导致阴影抖动伪影。
Enables the use of a translucency approximation. Disabling this setting is sometimes useful to avoid artifacts in raster renders. This setting does not affect ray traced images.;启用半透明近似。关闭此设置有时可避免光栅渲染中的伪影。此设置不影响光线追踪图像。
Enables the use of the material's primary roughness/gloss value for sheen rendering.;启用使用材质的主粗糙度/光泽值进行光泽渲染。
Enables use of vertex color information to determine albedo/diffuse color.;启用使用顶点颜色信息来确定反照率/漫反射颜色。
Export the set of listed animations from the primary model. Scene playback for other items, such as lights, will repeat for each animation in the set. This setting only applies to animated scenes.;从主模型导出所列的动画集。其他项目（如灯光）的场景播放将在该动画集中的每个动画上重复。此设置仅适用于带动画的场景。
GGX is a reflection model that has a relatively soft falloff to the highlight shape. GGX matches the highlight shape and curve of Unreal Engine 4 and a variety of other engines and shaders.;GGX 是一种反射模型，其高光形状具有相对柔和的衰减。GGX 与虚幻引擎 4 及多种其他引擎和着色器的高光形状与曲线相匹配。
If "Auto" is unchecked, this controls how fast the camera moves through the scene when using the keyboard controls. For complex environments, it may be helpful to set this value manually.;若未勾选“自动”，此选项控制使用键盘控制时摄像机在场景中的移动速度。对于复杂环境，手动设置此值可能会有所帮助。
Ignores grouping of high poly source meshes for baking, permitting all groups to cast rays onto one another. Useful for casting features across different groups of objects.;忽略用于烘焙的高模源网格的分组，允许所有组之间相互投射光线。适用于在不同物体组之间投射特征。
Ignores the separation of geometry into bake groups, allowing reflections and shadows to interact between them. Enabling this option can also make light bakes significantly faster.;忽略将几何体拆分为烘焙组，允许反射和阴影在其间相互作用。启用此选项还可显著加快光照烘焙速度。
Includes a high resolution preview image. This will be displayed before scenes are loaded in the browser instead of the blurred preview. Note that this may increase file size significantly.;包含高分辨率预览图像。在浏览器中加载场景之前将显示此图像，而非模糊预览。请注意，这可能会显著增大文件大小。
Includes texture coordinates and/or vertex colors in the subdivided mesh, where available. Omitting these attributes can result in faster subdivision if they aren't needed.;在可用的细分网格中包含纹理坐标和/或顶点颜色。如果不需要这些属性，省略它们可以加快细分速度。
Interpretation mode of the texture map. Roughness indicates that higher values are rougher, while smoothness indicates that higher values are smoother. Smoothness is also referred to as "gloss".;纹理贴图的解释模式。粗糙度(Roughness)表示值越大越粗糙，而光滑度(Smoothness)表示值越大越光滑。光滑度也称为“光泽”(gloss)。
Inverts the output of the glint roughness. This is useful for loading roughness maps where white corresponds to rough surfaces while black corresponds to smooth surfaces.;反转闪烁粗糙度的输出。适用于加载这类粗糙度贴图：其中白色对应粗糙表面，而黑色对应光滑表面。
Inverts the output of the gloss shader. This is useful for loading roughness maps where white corresponds to rough surfaces while black corresponds to smooth surfaces.;反转光泽着色器的输出。适用于加载这类粗糙度贴图：其中白色对应粗糙表面，而黑色对应光滑表面。
Loads a variety of curve presets. Save a preset file to /data/post/curve/ and it will show up in the preset list the next time Toolbag is opened.;加载各种曲线预设。将预设文件保存到 /data/post/curve/，下次打开 Toolbag 时它就会出现在预设列表中。
Meshes with this tag will appear missing from camera views, but will still cast shadows and emit light. This can be useful for lighting a scene with emissive meshes.;带有此标签的网格将从摄像机视图中消失，但仍会投射阴影和发光。这对于使用自发光网格照亮场景非常有用。
Mirror is a reflection model that does not support gloss or roughness maps. It is very efficient for materials that are perfectly smooth. It should only be used for mirror-like surfaces.;镜面(Mirror)是一种不支持光泽或粗糙度贴图的反射模型。对于完全光滑的材质非常高效。它只应用于类似镜面的表面。
Model files will be automatically reloaded when Toolbag regains focus. This only applies to external model references;models not imported as references will not reload.;当 Toolbag 重新获得焦点时，模型文件将自动重新加载。这仅适用于外部模型引用；未作为引用导入的模型不会重新加载。
Previews bake outputs on low-poly geometry. Creates a preview material containing the normal map, AO, and material outputs, and applies it to low-poly meshes contained in the baker.;在低模几何体上预览烘焙输出。创建包含法线贴图、AO 和材质输出的预览材质，并将其应用于烘焙器中包含的低模网格。
Provides a simple stylized HTML layout surrounding the viewer scene. This should probably not be used if you intend to embed the resulting HTML file without any formatting, or in an iframe.;在查看器场景周围提供简单的风格化 HTML 布局。如果你打算不进行任何格式处理地嵌入生成的 HTML 文件，或将其放入 iframe，则可能不应使用此选项。
Quality of the caustic paths that produce bright highlights due to illumination bounced off nearby specular surfaces. Higher quality caustics may require a greater number of samples to converge.;由于照明在附近的镜面表面上反弹而产生的明亮高光的焦散路径质量。更高质量的焦散可能需要更多采样才能收敛。
